,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
212,Noord-West,Apartment,Entire home/apt,4,1.0,1.0,112,0,4138.801353157549,0.5,0.1428571428571428
213,Noord-West,Apartment,Private room,2,1.0,1.0,45,1,4786.906667757832,0.8333333333333334,0.1428571428571428
214,Noord-West,House,Entire home/apt,4,1.5,2.0,150,1,4822.790226220187,0.8333333333333334,0.1428571428571428
215,Noord-West,House,Entire home/apt,4,3.0,4.0,111,1,3818.485402298405,0.6666666666666666,0.0
216,Noord-West,Apartment,Entire home/apt,2,1.0,1.0,79,1,3900.5816766491,0.6666666666666666,0.0
217,Noord-West,Apartment,Private room,2,1.0,1.0,70,2,4322.6415928783335,0.5,0.2857142857142857
218,Noord-West,Bed & Breakfast,Private room,1,1.0,1.0,65,1,4933.316020666889,0.5,0.2857142857142857
219,Noord-West,Apartment,Entire home/apt,2,1.0,1.0,70,2,3729.766248957134,0.8333333333333334,0.2857142857142857
220,Noord-West,House,Private room,2,1.0,1.0,55,2,5266.251898791448,0.3333333333333333,0.1428571428571428
221,Noord-West,House,Private room,2,1.5,1.0,45,0,4528.843642447963,0.5,0.2857142857142857
222,Noord-West,House,Entire home/apt,5,1.0,4.0,175,0,5390.411136223811,0.6666666666666666,0.1428571428571428
223,Noord-West,House,Shared room,2,0.5,1.0,70,2,5740.959745067442,0.1666666666666666,0.2857142857142857
224,Noord-West,House,Entire home/apt,3,1.5,1.0,70,0,5006.191182724982,0.5,0.1428571428571428
